indicatorId,geoUnit,year,value
primary education,KOR,2000,4030413
primary education,KOR,2001,4099649
primary education,KOR,2002,4148432
primary education,KOR,2003,4185330
primary education,KOR,2004,4125529
primary education,KOR,2005,4031590
primary education,KOR,2006,3933186
primary education,KOR,2007,3837761
primary education,KOR,2008,3679629
primary education,KOR,2009,3481764
primary education,KOR,2010,3306211
primary education,KOR,2011,3139724
primary education,KOR,2012,2959090
primary education,KOR,2013,2790890
primary education,KOR,2014,2736224
primary education,KOR,2015,2721766
primary education,KOR,2016,2680126
primary education,KOR,2017,2681815
primary education,KOR,2018,2719358
primary education,KOR,2019,2755682
primary education,KOR,2020,2702647
primary education,KOR,2021,2681829
primary education,KOR,2022,2674487
primary education,ZAF,2000,7444802
primary education,ZAF,2001,7413415
primary education,ZAF,2002,7465728
primary education,ZAF,2003,7470476
primary education,ZAF,2004,7444142
primary education,ZAF,2005,7314449
primary education,ZAF,2006,7256518
primary education,ZAF,2007,7312258
primary education,ZAF,2008,7231660
primary education,ZAF,2009,7128500
primary education,ZAF,2010,7024368
primary education,ZAF,2011,6957432
primary education,ZAF,2012,7004482
primary education,ZAF,2013,7063849
primary education,ZAF,2014,7195183
primary education,ZAF,2015,7555842
primary education,ZAF,2016,7569924
primary education,ZAF,2017,7582154
primary education,ZAF,2018,7568387
primary education,ZAF,2019,7688381
primary education,ZAF,2020,7716039
primary education,ZAF,2021,7698124
primary education,ZAF,2022,7630776
secondary education,KOR,2000,3958702
secondary education,KOR,2001,3768040
secondary education,KOR,2002,3661759
secondary education,KOR,2003,3645617
secondary education,KOR,2004,3702150
secondary education,KOR,2005,3795981
secondary education,KOR,2006,3864005
secondary education,KOR,2007,3928039
secondary education,KOR,2008,3958781
secondary education,KOR,2009,3994713
secondary education,KOR,2010,3959451
secondary education,KOR,2011,3877799
secondary education,KOR,2012,3793127
secondary education,KOR,2013,3720130
secondary education,KOR,2014,3579411
secondary education,KOR,2015,3396766
secondary education,KOR,2016,3231795
secondary education,KOR,2017,3072037
secondary education,KOR,2018,2893979
secondary education,KOR,2019,2726376
secondary education,KOR,2020,2673796
secondary education,KOR,2021,2671594
secondary education,KOR,2022,2631966
secondary education,ZAF,2000,4141946
secondary education,ZAF,2001,4250400
secondary education,ZAF,2002,4353817
secondary education,ZAF,2003,4446841
secondary education,ZAF,2004,4593492
secondary education,ZAF,2005,4657674
secondary education,ZAF,2006,4790382
secondary education,ZAF,2007,4815932
secondary education,ZAF,2008,4671139
secondary education,ZAF,2009,4687958
secondary education,ZAF,2010,4689600
secondary education,ZAF,2011,4756111
secondary education,ZAF,2012,4843800
secondary education,ZAF,2013,5233115
secondary education,ZAF,2014,5220975
secondary education,ZAF,2015,5279196
secondary education,ZAF,2016,5164481
secondary education,ZAF,2017,5052180
secondary education,ZAF,2018,4878960
secondary education,ZAF,2019,5036694
secondary education,ZAF,2020,5100811
secondary education,ZAF,2021,5353649
secondary education,ZAF,2022,5380515
