country,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
Republic of Korea,2000,46766657,50,46,53,23000,17,16,19,47,94,87,100
Republic of Korea,2001,47043467,85,79,91,40000,9,9,10,79,94,87,100
Republic of Korea,2002,47299118,79,74,85,37000,10,9,11,74,94,87,100
Republic of Korea,2003,47514152,83,77,89,39000,10,9,11,78,94,87,100
Republic of Korea,2004,47697068,78,73,83,37000,10,9,10,73,94,87,100
Republic of Korea,2005,47851652,96,89,103,46000,8,7,9,90,94,87,100
Republic of Korea,2006,48006519,94,87,100,45000,7,7,8,88,94,87,100
Republic of Korea,2007,48178121,93,87,99,45000,7,6,7,87,94,87,100
Republic of Korea,2008,48356502,90,84,96,43000,7,6,7,84,94,87,100
Republic of Korea,2009,48546694,95,89,102,46000,6,6,7,89,94,87,100
Republic of Korea,2010,48769338,97,90,103,47000,6,6,7,90,94,87,100
Republic of Korea,2011,49127637,101,94,108,49000,6,6,7,94,94,87,100
Republic of Korea,2012,49599586,94,88,101,47000,7,6,7,88,94,87,100
Republic of Korea,2013,50071162,89,83,95,44000,6,6,7,83,94,87,100
Republic of Korea,2014,50539059,85,79,91,43000,7,6,7,80,94,87,100
Republic of Korea,2015,50983912,79,73,84,40000,7,6,7,74,94,87,100
Republic of Korea,2016,51297843,76,71,81,39000,7,6,7,71,94,87,100
Republic of Korea,2017,51486278,70,65,74,36000,6,6,7,65,94,87,100
Republic of Korea,2018,51640902,64,60,69,33000,7,6,7,60,94,87,100
Republic of Korea,2019,51767845,58,54,62,30000,7,6,7,54,94,87,100
Republic of Korea,2020,51858488,48,44,51,25000,8,7,8,45,94,87,100
Republic of Korea,2021,51848395,44,41,47,23000,8,7,8,41,94,87,100
Republic of Korea,2022,51782508,40,37,42,20000,8,7,9,37,94,87,100
Republic of Korea,2023,51748740,38,35,41,20000,8,7,9,35,94,87,100
South Africa,2000,47159718,762,416,1210,360000,44,18,73,321,42,26,77
South Africa,2001,47566798,867,429,1460,413000,47,17,79,312,36,21,73
South Africa,2002,48019414,971,434,1720,466000,41,14,71,448,46,26,100
South Africa,2003,48500344,1070,433,1980,518000,42,13,75,469,44,24,110
South Africa,2004,48991415,1150,427,2220,564000,40,12,73,546,47,25,130
South Africa,2005,49490035,1210,420,2410,601000,43,12,78,546,45,23,130
South Africa,2006,49998274,1250,415,2540,627000,41,11,75,606,48,24,150
South Africa,2007,50528578,1270,412,2600,643000,40,11,74,624,49,24,150
South Africa,2008,51114604,1270,592,2200,651000,34,13,59,681,54,31,120
South Africa,2009,51728518,1260,634,2090,651000,32,14,54,696,55,33,110
South Africa,2010,52344050,1230,622,2050,646000,20,9,33,678,55,33,110
South Africa,2011,52995199,1200,667,1890,636000,19,9,32,684,57,36,100
South Africa,2012,53782563,1160,552,1990,625000,15,5,30,602,52,30,110
South Africa,2013,54678793,1110,548,1850,604000,14,4,27,571,52,31,100
South Africa,2014,55594839,1070,544,1760,594000,13,4,26,551,52,31,100
South Africa,2015,56723532,988,534,1580,561000,13,4,25,506,51,32,95
South Africa,2016,57259553,805,494,1190,461000,15,6,27,414,51,35,84
South Africa,2017,57635157,738,474,1060,426000,15,7,26,422,57,40,89
South Africa,2018,58613004,677,453,946,397000,16,8,26,389,57,41,86
South Africa,2019,59587889,615,427,835,366000,17,9,27,352,57,42,82
South Africa,2020,60562386,562,396,757,340000,18,9,28,315,56,42,80
South Africa,2021,61502602,513,348,709,315000,19,9,31,280,55,40,80
South Africa,2022,62378415,468,304,665,292000,20,9,34,344,73,52,110
South Africa,2023,63212382,427,265,626,270000,22,10,37,335,79,54,130
